carat,cut,color,clarity,depth,table,price
1.71,3,1,1,61.9,61.0,9.78
0.91,3,7,1,63.1,61.0,8.42
1.01,5,3,5,60.2,58.0,8.754
0.51,4,7,3,61.9,55.0,7.563
0.3,5,7,2,62.5,61.0,6.209
1.6,5,7,5,61.6,60.0,9.543
0.38,5,3,7,60.6,59.0,6.954
0.43,3,7,3,62.3,60.0,6.962000000000001
0.32,4,1,3,61.4,57.0,6.59
0.71,5,6,2,61.7,56.0,7.481
1.01,3,7,1,61.9,58.0,8.725
0.59,4,7,2,61.3,56.0,7.545
2.01,5,6,2,61.5,60.0,9.711
2.0,1,6,4,65.0,57.0,9.171
1.11,3,3,4,61.6,61.0,8.318999999999999
1.01,5,1,4,62.6,60.0,8.392999999999999
0.95,2,3,5,57.7,58.0,8.57
2.13,5,5,4,62.4,56.0,9.454
0.39,3,1,7,60.8,57.0,7.0089999999999995
1.0,3,1,4,62.6,58.0,8.314
1.7,4,3,4,61.6,57.0,9.12
0.31,4,2,1,61.1,55.0,6.652
0.33,4,2,3,61.1,56.0,6.928999999999999
0.53,5,2,5,60.4,58.0,7.579
1.11,5,3,4,61.6,61.0,8.337
1.01,5,3,1,62.9,60.0,8.918
0.3,4,7,1,61.7,57.0,6.654
1.0,5,2,4,59.4,60.0,8.439
0.3,5,4,5,60.6,59.0,6.159
0.23,5,2,3,58.9,60.0,6.534
1.51,4,6,3,61.6,58.0,9.289
0.61,4,5,5,62.5,54.0,7.372000000000001
1.01,3,7,5,61.5,56.0,8.658999999999999
0.4,5,2,5,62.5,59.0,6.957000000000001
0.35,5,5,1,61.7,59.0,6.42
0.33,3,7,2,61.1,59.0,6.1979999999999995
0.92,3,5,1,61.7,62.0,8.349
0.31,4,2,2,62.4,56.0,6.347
0.3,5,3,5,62.6,62.0,6.669
1.0,2,3,5,63.3,59.0,8.697000000000001
0.3,3,2,5,62.5,59.0,6.565
0.9,5,7,4,60.4,58.0,8.145
0.5,3,7,1,61.3,58.0,7.372999999999999
0.7,4,7,5,62.9,56.0,7.773
1.71,4,5,5,61.9,57.0,9.171
0.34,4,3,2,61.4,54.0,6.64
0.32,4,2,1,61.1,56.0,6.561
0.32,3,1,1,60.0,62.0,6.682
0.9,3,5,5,62.6,58.0,8.291
0.57,4,6,5,61.9,57.0,7.251
1.0,5,1,2,62.1,59.0,8.529
0.5,5,1,5,62.1,58.0,7.4110000000000005
1.19,3,7,2,62.8,57.0,8.72
0.5,1,2,2,64.6,58.0,7.188
1.61,4,6,2,62.4,55.0,9.234
0.38,4,1,6,61.5,56.0,7.1
0.39,5,1,5,62.4,58.0,6.959
1.31,4,1,1,61.9,54.0,9.302
0.7,2,2,1,60.4,63.0,8.041
0.5,4,5,7,61.4,57.0,7.428999999999999
0.5,4,3,2,62.3,56.0,7.251
0.39,4,5,3,62.1,54.3,6.749
0.4,4,6,7,63.0,55.0,6.672000000000001
0.33,3,2,3,59.5,56.0,6.837999999999999
0.32,5,7,5,61.5,59.0,6.33
0.62,3,3,4,58.8,63.0,7.393
0.4,2,3,2,63.2,56.0,6.532
1.51,5,5,2,62.8,60.0,8.957
0.37,4,1,3,60.5,60.0,6.775
0.8,5,3,2,61.2,60.0,7.977
0.54,5,2,5,61.1,55.0,7.597
1.27,3,4,1,63.4,60.0,8.646
0.71,5,4,5,62.8,61.0,7.559
0.4,5,2,2,61.6,58.0,6.898
0.9,3,3,5,62.9,57.0,8.429
1.7,5,7,4,62.2,59.0,8.911
0.23,4,7,1,61.9,54.0,6.001
0.34,5,5,1,60.8,59.0,6.64
0.9,3,7,4,63.5,57.0,8.117
0.31,5,2,1,59.6,58.0,6.526
1.12,3,5,4,62.9,58.0,8.411
0.43,4,2,2,61.5,56.0,6.721
0.39,4,7,3,61.7,54.2,6.859
1.57,5,6,4,62.4,58.0,8.984
0.3,4,3,7,61.2,57.0,6.731
1.7,3,6,5,63.0,58.0,9.3
0.25,3,2,3,62.1,57.0,6.306
0.96,3,3,5,58.7,58.0,8.699
1.15,5,5,5,60.2,58.0,8.555
0.64,4,1,3,60.9,56.0,8.076
0.4,4,1,5,62.6,54.0,6.737
0.3,3,1,6,62.1,57.0,6.787000000000001
0.59,4,7,1,62.1,55.0,7.558
0.3,2,5,4,63.9,57.0,6.184
0.4,3,2,2,63.0,59.0,6.537000000000001
0.39,3,7,5,63.4,57.0,6.917000000000001
0.7,3,6,2,63.8,56.0,7.587000000000001
0.72,4,1,2,62.1,55.0,7.8
1.31,5,6,1,62.8,57.0,8.658999999999999
1.51,4,7,1,62.1,55.0,9.546
0.6,1,3,4,66.5,56.0,6.94
0.81,4,1,2,61.8,55.0,8.008
1.0,3,3,2,59.6,60.0,8.585
0.9,4,2,2,62.1,57.0,8.417
0.72,4,2,5,62.1,54.0,8.146
1.0,3,5,4,60.8,60.0,8.411
1.29,5,6,4,61.1,62.0,8.363999999999999
0.41,5,3,2,61.4,56.0,6.876
3.4,1,2,8,66.8,52.0,9.677999999999999
1.1,3,2,2,60.7,55.0,8.757
0.38,4,5,3,62.1,53.9,6.724
0.32,4,3,5,61.4,56.0,6.644
1.66,4,4,4,60.8,57.0,8.76
0.41,4,7,1,61.5,56.0,6.867999999999999
1.0,5,7,4,60.7,59.0,8.139
1.01,3,2,4,61.8,57.0,8.357000000000001
0.77,5,2,1,59.4,59.0,8.286
1.01,3,3,2,62.3,56.0,8.583
0.3,4,7,6,62.2,56.0,6.745
0.71,4,1,4,62.2,56.0,7.742000000000001
0.27,5,3,7,60.6,58.0,6.433
0.8,3,1,4,59.7,56.0,7.849
1.16,5,1,4,62.1,59.0,8.549
0.28,4,5,1,62.3,55.0,6.176
0.33,2,6,2,63.2,58.0,6.098
0.51,4,1,1,60.4,56.0,7.4270000000000005
1.0,3,6,1,61.1,59.9,8.519
0.43,5,7,5,61.2,58.0,6.765
0.35,4,2,2,61.6,57.0,6.468
0.38,5,2,2,59.1,58.0,6.454
1.52,3,4,7,63.6,56.0,9.169
2.01,5,5,4,62.3,58.0,9.666
2.51,4,5,2,62.9,56.0,9.637
1.55,4,3,3,62.5,55.0,9.809
0.35,4,3,7,61.9,56.0,6.874
0.52,3,5,7,63.9,59.0,7.417000000000001
1.22,4,7,7,61.1,56.0,9.295
0.33,5,3,1,61.6,58.0,6.6610000000000005
0.32,3,6,3,63.0,57.0,6.33
1.26,4,4,2,62.0,56.0,8.594
0.81,2,2,4,63.6,55.0,7.981
0.54,5,5,1,62.6,59.0,7.377999999999999
0.3,5,7,1,61.8,60.0,6.405
1.3,5,1,1,61.0,59.0,9.299
0.32,4,3,5,62.1,56.0,6.553999999999999
0.54,5,7,1,61.1,59.0,7.47
0.32,5,6,5,62.6,58.0,6.107
0.31,4,5,5,61.5,54.0,6.25
0.32,4,7,1,61.2,56.0,6.718999999999999
0.42,5,5,1,61.6,58.0,6.9910000000000005
0.34,4,3,5,61.8,57.0,6.545
0.42,5,2,4,62.0,59.0,6.7589999999999995
0.55,5,3,4,59.7,58.0,7.146
0.55,5,5,5,60.2,59.0,7.235
2.1,4,5,2,61.7,53.0,9.618
0.53,4,6,2,61.5,54.0,6.945
1.03,4,2,3,62.0,56.0,9.19
0.45,5,7,7,60.1,58.0,7.188
1.0,4,3,5,59.6,57.0,8.877
0.72,4,2,1,61.6,56.0,8.167
0.3,3,3,5,61.8,58.0,6.489
1.02,5,2,4,59.7,60.0,8.556000000000001
0.5,2,1,5,63.2,56.0,7.27
0.23,3,3,1,59.6,65.0,5.935
0.51,5,3,1,61.9,58.0,7.513
1.74,5,6,2,58.7,60.0,9.307
1.02,5,1,2,62.5,56.0,8.494
1.05,5,3,2,62.5,59.0,8.691
0.3,5,3,2,60.6,56.0,6.515
1.5,2,4,4,60.9,62.0,8.817
2.43,5,4,5,62.2,57.0,9.836
0.82,3,4,2,62.9,57.0,7.746
1.71,4,4,1,62.1,55.0,9.368
0.36,4,5,7,62.3,56.0,6.959
0.55,4,7,1,60.9,55.0,7.596
0.41,5,6,3,62.1,58.0,6.9670000000000005
0.29,3,5,1,62.2,56.0,6.096
0.33,4,5,5,61.2,55.0,6.256
0.53,3,7,2,61.0,55.0,7.106
1.51,4,1,1,62.1,56.0,9.712
0.91,3,5,5,62.6,57.0,8.501
1.06,5,6,1,61.2,57.1,8.622
0.7,5,3,2,60.5,58.0,7.928999999999999
0.52,4,7,3,61.0,56.0,7.555
0.91,3,5,1,62.7,63.0,8.264
1.01,4,7,5,62.0,54.9,8.748
0.31,3,6,1,62.8,57.0,6.192
2.28,2,4,2,63.7,55.0,9.572000000000001
0.26,4,5,1,62.2,55.0,6.136
1.1,3,5,5,61.3,58.0,8.685
0.42,4,7,3,62.7,56.0,7.006
0.31,3,2,2,62.9,57.0,6.347
1.18,5,5,4,58.7,60.0,8.508
0.32,4,2,2,61.9,57.0,6.627999999999999
0.31,4,2,3,61.9,57.0,6.641
1.12,5,5,2,61.6,59.0,8.568999999999999
0.33,4,7,5,62.8,54.0,6.611000000000001
2.0,4,3,4,62.2,57.0,9.72
0.91,4,6,3,60.6,57.0,8.447000000000001
0.32,4,2,5,62.0,55.0,6.631
2.0,3,5,2,62.8,57.0,9.842
1.41,5,7,2,59.5,59.0,9.078
0.71,4,3,5,62.2,57.0,7.928999999999999
1.07,4,4,2,62.1,56.0,8.361
0.73,4,7,2,61.9,55.0,8.036
1.27,3,5,5,62.6,57.0,8.951
0.35,5,5,7,62.1,58.0,6.931
0.5,1,2,2,64.6,61.0,7.121
0.34,4,3,1,60.8,57.0,6.691
0.3,4,7,1,63.1,55.0,6.436
1.34,3,4,1,61.7,59.0,8.738
0.52,4,3,5,61.9,56.0,7.504
0.4,4,2,5,62.3,57.0,6.89
0.7,5,3,1,62.2,58.0,7.947
1.24,4,7,5,62.0,56.0,9.082
1.53,4,3,2,61.0,55.0,9.347000000000001
0.3,4,6,1,62.2,56.0,6.25
1.05,4,1,4,60.9,56.0,8.45
0.32,5,7,5,62.5,60.0,6.579
0.7,3,1,2,58.4,63.0,7.629
2.04,5,5,4,62.8,58.0,9.56
0.32,3,7,6,62.4,55.0,6.861000000000001
0.8,3,5,1,61.7,62.0,8.074
0.5,2,1,5,62.8,61.0,7.277
0.26,4,1,6,60.9,55.0,6.644
0.56,4,5,7,60.8,57.0,7.565
0.41,5,7,5,61.7,61.0,6.9670000000000005
1.54,5,6,5,61.7,59.0,9.096
1.0,4,7,2,61.0,57.0,8.634
0.31,2,2,2,63.4,58.0,6.347
0.9,5,2,5,61.6,62.0,8.459
0.91,3,1,2,63.5,58.0,8.068999999999999
0.42,3,1,5,61.7,59.0,6.784
0.96,3,6,4,62.7,58.0,8.097000000000001
0.43,4,7,4,62.3,53.0,6.545
0.5,5,1,5,61.4,59.0,7.459
0.72,4,1,2,62.0,55.0,7.915
0.29,3,5,3,62.2,54.0,6.144
0.87,4,2,4,61.4,54.0,8.297
2.02,5,1,4,61.7,58.0,9.825
0.3,4,1,7,61.1,56.0,6.702000000000001
0.32,4,3,5,62.0,55.0,6.553999999999999
0.95,1,1,4,56.0,60.0,7.943
0.57,5,4,4,62.7,60.0,6.847
0.33,4,5,1,62.0,55.0,6.361000000000001
1.51,5,3,2,62.4,59.0,9.419
0.55,5,7,4,61.2,59.0,6.974
1.58,5,5,4,60.4,58.0,9.092
1.15,5,5,4,61.6,60.0,8.464
0.53,4,3,5,60.8,56.0,7.579
1.01,1,7,2,64.2,59.0,8.295
0.5,3,1,2,62.8,56.0,7.131
2.07,5,3,2,61.2,58.0,9.738
1.55,4,1,4,62.3,55.5,9.191
0.23,3,3,3,61.3,57.0,6.225
0.7,5,1,2,61.0,60.0,7.821000000000001
1.33,5,5,4,61.9,58.0,8.559
2.0,4,5,2,61.8,57.0,9.802
0.51,3,3,4,58.3,63.0,7.143
0.31,5,5,3,62.3,60.0,6.438
0.59,4,1,1,61.1,56.0,7.669
0.71,3,4,5,62.1,58.0,7.4239999999999995
0.41,4,1,1,61.3,57.0,6.915
0.42,4,3,5,62.4,55.0,6.865
0.71,5,2,5,62.4,59.0,8.059
1.24,4,6,2,62.0,58.0,8.737
0.4,5,5,2,62.8,59.0,6.751
0.32,5,3,2,60.2,60.0,6.33
0.4,4,2,5,60.8,59.0,6.821000000000001
0.37,4,7,5,60.8,57.0,6.475
0.75,4,4,1,62.9,57.0,7.7410000000000005
0.34,4,7,6,61.0,55.0,6.881
1.01,3,5,5,60.7,58.0,8.637
0.33,5,6,2,61.3,59.0,6.349
0.51,4,3,1,61.5,56.0,7.523
1.02,2,7,4,59.9,58.0,8.333
0.82,3,3,5,62.6,60.0,8.2
0.35,4,6,3,62.0,54.0,6.394
1.01,3,6,2,60.9,63.0,7.751
0.41,4,1,5,62.7,56.0,7.0089999999999995
1.23,4,7,3,62.2,56.1,9.202
1.13,1,6,5,55.9,67.0,8.454
0.32,5,6,2,61.1,59.0,6.042999999999999
0.41,4,1,2,61.6,57.0,6.558
1.0,3,2,5,63.1,59.0,8.77
0.71,4,6,7,62.3,56.0,7.8660000000000005
0.37,5,6,7,61.6,59.0,6.524
0.52,2,1,2,63.8,56.0,7.126
0.43,5,5,2,59.0,58.0,6.574
0.6,4,2,5,62.0,55.0,7.801
0.31,4,6,2,62.1,53.0,6.211
1.04,3,1,3,62.5,58.0,9.081
1.0,2,3,5,62.4,58.0,8.74
0.38,5,2,4,62.1,55.0,6.7
1.21,5,2,3,61.1,59.0,9.605
0.3,4,7,2,60.6,57.0,6.188
1.1,5,7,4,63.0,59.0,8.215
1.13,3,2,4,62.3,60.0,8.596
0.53,4,3,5,61.3,55.0,7.502999999999999
0.25,3,1,3,59.3,59.0,6.306
0.55,4,3,2,61.4,55.0,7.419
0.31,4,7,1,61.9,55.0,6.367999999999999
2.06,2,6,2,59.0,64.0,9.61
0.74,4,5,1,62.1,55.0,8.088
0.33,3,6,1,59.9,62.0,6.354
0.3,5,2,5,62.3,58.0,6.815
2.01,4,6,4,62.1,55.0,9.421
1.14,3,2,4,59.2,61.0,8.509
0.42,5,7,1,60.6,58.0,6.892
0.31,4,7,1,62.5,57.0,6.438
0.71,4,7,5,61.7,57.0,7.827999999999999
0.3,4,7,3,62.2,54.0,6.457999999999999
0.41,3,4,3,63.1,60.0,6.625
1.0,5,1,4,61.5,58.0,8.274
0.43,4,3,7,61.3,57.0,7.268
0.71,3,1,2,61.1,57.0,7.755
0.81,3,7,2,62.3,59.0,8.038
1.27,3,5,2,62.3,58.0,8.871
0.7,4,1,2,61.5,56.0,7.761
1.53,5,2,4,59.9,58.0,9.076
0.33,4,7,2,61.6,56.0,6.227
0.7,1,7,5,57.3,63.0,7.729
0.72,4,6,1,61.4,58.0,7.858
0.37,2,6,5,64.0,56.0,6.388999999999999
1.01,4,7,5,61.6,56.0,8.757
1.02,3,5,2,59.9,58.0,8.543
1.64,5,1,2,62.8,59.0,9.447000000000001
0.38,3,3,3,59.7,63.0,7.053999999999999
1.51,3,6,4,63.1,60.0,8.827
2.01,5,7,4,60.8,61.0,9.414
2.01,5,7,5,61.4,58.0,9.797
1.0,2,6,2,57.6,61.0,8.2
1.2,5,3,3,61.4,56.0,9.344
0.99,2,1,4,63.3,54.0,8.307
1.5,2,2,4,63.8,58.0,9.05
1.54,5,1,4,61.1,58.0,9.111
1.58,5,2,2,62.7,60.0,9.546
1.28,4,3,6,60.7,57.0,9.836
1.03,5,1,2,60.9,61.0,8.533999999999999
0.33,4,1,4,61.4,57.0,6.023
1.52,4,5,4,62.0,60.0,9.062000000000001
0.9,5,7,2,62.0,61.0,8.208
0.32,2,7,2,63.5,56.0,6.167999999999999
0.32,5,5,1,62.3,58.0,6.33
0.33,2,1,5,59.5,61.0,6.466
0.54,5,5,1,61.3,58.0,7.401
0.9,3,7,4,64.2,60.0,8.142000000000001
0.72,5,5,5,60.7,59.0,7.857
2.37,4,4,5,62.2,57.0,9.684
0.58,4,1,1,61.9,54.0,7.48
1.06,5,3,1,59.1,58.0,8.805
0.34,4,1,3,61.8,56.0,6.818
0.55,4,6,4,60.4,56.0,7.011
1.01,4,7,5,61.7,57.0,8.601
1.51,5,2,4,63.0,62.0,9.2
1.0,4,6,4,60.9,57.0,8.264
1.0,5,1,1,59.2,60.0,8.862
1.2,5,7,2,63.0,58.0,8.704
0.55,5,7,1,62.0,57.0,7.54
0.3,5,7,5,61.1,62.0,6.446000000000001
0.31,4,3,1,61.1,54.0,6.54
1.0,5,3,4,59.1,61.0,8.312999999999999
1.12,5,5,2,61.6,58.0,8.459
0.55,4,7,5,61.8,58.0,7.414
0.51,1,1,3,60.7,66.0,8.382
0.39,4,2,1,60.3,56.0,6.999
1.53,4,6,2,62.3,56.0,9.139
0.56,3,3,5,61.9,55.0,7.506
0.3,4,5,7,62.0,56.0,6.455
0.33,3,7,3,63.0,56.0,6.51
0.41,4,5,7,61.5,55.0,6.919
1.0,5,2,2,61.4,58.0,8.536
1.32,3,6,1,63.5,58.0,8.824
0.52,3,4,7,61.7,55.5,7.2170000000000005
0.48,4,6,6,61.4,55.0,7.0920000000000005
0.41,5,2,4,59.9,60.0,6.678
1.24,5,7,6,60.5,58.0,9.267000000000001
0.37,4,3,5,61.0,56.0,6.603
1.2,4,4,1,61.3,56.0,8.619
0.4,2,7,5,63.8,59.0,6.693
0.27,3,7,6,60.8,57.0,6.3389999999999995
0.41,4,1,5,61.8,56.0,7.0089999999999995
0.78,4,7,4,61.9,55.0,7.7139999999999995
0.7,5,7,4,61.0,58.0,7.5360000000000005
0.35,4,3,1,61.9,56.0,6.72
0.66,3,5,5,60.9,57.0,7.518
1.22,3,4,1,59.0,63.0,8.527999999999999
1.01,3,1,2,60.7,58.0,8.566
1.09,4,7,5,62.8,57.0,8.895
0.3,5,2,5,62.6,61.0,6.815
0.32,4,1,3,62.1,54.0,6.916
0.42,3,2,2,60.8,59.0,6.697
1.02,3,5,2,61.0,59.0,8.604
0.9,3,2,4,60.3,63.0,8.152999999999999
1.51,3,1,2,59.4,57.0,9.291
1.01,2,1,2,63.5,59.0,8.497
1.03,4,7,2,60.9,57.0,8.497
0.3,5,5,3,62.4,58.0,6.405
0.31,3,7,5,63.1,58.0,6.547999999999999
0.71,5,1,1,61.8,59.0,7.925
0.86,1,7,1,64.6,58.8,8.231
0.53,5,1,5,60.6,55.0,7.468999999999999
1.42,4,5,2,62.0,56.0,9.051
0.79,5,5,1,60.0,60.0,7.959
0.34,5,3,5,61.0,59.0,6.8629999999999995
0.3,4,3,5,62.0,55.0,6.7379999999999995
0.31,4,7,6,61.4,56.0,6.792000000000001
1.2,5,5,4,62.3,58.0,8.572000000000001
0.3,4,1,6,60.8,56.0,6.792999999999999
0.26,5,1,1,59.5,58.0,6.114
2.01,3,6,2,60.8,60.0,9.536
1.01,5,5,4,61.6,59.0,8.353
0.46,2,1,1,64.4,60.0,7.015
0.51,4,7,2,63.0,53.0,7.178999999999999
0.42,4,5,5,62.9,56.0,6.9
0.7,4,7,5,61.6,56.0,7.922000000000001
1.6,4,7,2,62.1,56.0,9.363
0.3,2,6,2,63.8,57.0,5.976
1.19,5,5,2,60.8,59.0,8.648
1.14,4,4,4,61.5,57.0,8.346
0.9,2,5,2,64.2,60.0,7.997999999999999
0.44,3,3,1,60.7,58.0,7.053999999999999
0.7,3,1,2,61.5,58.0,7.772
0.43,4,7,4,61.1,55.0,6.685
1.56,4,3,5,60.5,57.0,9.451
1.09,5,5,4,61.7,60.0,8.429
1.01,2,6,4,64.1,58.0,8.116
0.39,5,7,5,60.4,61.0,6.848
1.19,2,4,2,59.8,64.0,8.411
1.5,4,6,2,59.4,60.0,9.054
0.52,4,7,1,60.9,55.0,7.432
0.9,2,1,8,64.3,58.0,7.67
1.0,5,7,2,62.7,59.0,8.574
0.32,2,2,4,63.7,56.0,6.167999999999999
0.7,2,6,1,63.2,55.0,7.729
0.29,3,3,7,60.9,61.0,6.444
0.71,4,5,6,62.0,54.0,8.068
1.52,2,7,4,63.0,61.0,9.022
1.5,4,1,1,62.3,56.0,9.671
0.32,5,1,1,62.1,60.0,6.773
0.72,2,5,4,57.9,58.0,7.629
0.7,5,5,5,62.2,58.0,7.689
0.27,5,7,5,62.4,59.0,6.232
1.01,5,1,2,61.8,59.0,8.515
1.03,3,4,4,58.0,60.0,8.224
1.26,4,5,4,61.8,54.0,8.794
1.05,4,6,2,62.6,56.0,8.404
0.3,5,2,6,62.1,59.0,7.03
0.86,4,7,1,62.2,57.0,8.394
1.0,2,1,2,63.6,58.0,8.487
0.9,2,6,5,62.5,59.0,8.131
0.53,3,7,1,60.2,55.0,7.4510000000000005
2.24,5,4,4,62.2,59.0,9.533999999999999
1.51,3,6,5,60.4,58.0,9.125
1.2,5,6,5,62.2,61.0,8.517999999999999
1.0,4,1,2,62.4,55.0,8.505
1.01,5,3,4,60.0,61.0,8.501
0.35,4,2,4,62.4,55.0,6.506
0.53,4,2,7,62.5,54.0,7.974
